bid,ask,spread,time
20.721,0.3039,20.4171,1659983658.1981683
18.8743,2.7088,16.1655,1659983659.7593415
17.5332,1.0982,16.435000000000002,1659983661.3629544
19.4896,1.0162,18.473399999999998,1659983662.95236
0.4,0.0001,0.39990000000000003,1659983664.5306735
9.5939,3.8899,5.704,1659983666.8819933
7.1583,14.5999,-7.4416,1659983668.486753
7.6315,12.7607,-5.1292,1659983670.0668802
5.8428,19.406,-13.563199999999998,1659983671.6510098
6.092,23.7196,-17.6276,1659983673.278509
3.434,27.7843,-24.3503,1659983674.8787227
13.739,10.3507,3.388300000000001,1659983676.4597762
10.0236,14.8762,-4.852600000000001,1659983678.2933571
9.6625,16.0936,-6.431099999999999,1659983679.8808248
10.6601,15.6742,-5.014100000000001,1659983681.4193661
15.9681,11.7579,4.2102,1659983682.979195
4.4308,19.1774,-14.746599999999999,1659983684.5557063
6.2299,18.5835,-12.3536,1659983686.1576765
5.1166,19.8734,-14.7568,1659983687.7247694
0.5674,0.3962,0.17120000000000002,1659983689.2687542
9.9441,12.6559,-2.7118,1659983691.3903875
8.1808,16.2626,-8.0818,1659983693.5333598
0.8553,28.7524,-27.897100000000002,1659983695.8639452
11.1012,7.5701,3.5311000000000003,1659983697.9547696
4.6942,21.2533,-16.5591,1659983700.0633538
1.0489,25.9714,-24.9225,1659983702.3894975
8.4047,17.644,-9.239299999999998,1659983703.9370117
3.2012,24.7099,-21.5087,1659983706.0515537
3.3767,31.2727,-27.896,1659983708.147161
0.415,32.8984,-32.4834,1659983709.7049406
5.6722,27.7117,-22.0395,1659983711.2788646
2.0121,27.8725,-25.8604,1659983713.3853385
0.6219,30.589,-29.9671,1659983715.4684217
0.0632,23.719,-23.655800000000003,1659983717.0433571
2.5663,16.2987,-13.7324,1659983719.1236598
4.2572,19.4477,-15.1905,1659983721.2200263
1.7105,27.1198,-25.4093,1659983722.7813985
3.2911,25.3363,-22.0452,1659983724.330402
1.5753,29.3749,-27.7996,1659983725.9160903
1.0759,30.3616,-29.2857,1659983727.489067
0.3258,8.954,-8.628200000000001,1659983729.3865035
23.6271,12.4203,11.2068,1659983731.1307385
0.5649,21.7247,-21.159799999999997,1659983732.7527993
3.2401,30.6974,-27.457299999999996,1659983734.418152
0.2253,30.4442,-30.218899999999998,1659983736.0092247
0.0826,33.4159,-33.3333,1659983737.6957953
0.2061,39.3917,-39.1856,1659983739.268688
3.3189,37.8021,-34.483200000000004,1659983740.8361394
18.815,3.1703,15.6447,1659983742.7796116
20.8569,0.7223,20.1346,1659983744.6781056
23.9983,0.9517,23.0466,1659983746.2455752
16.7435,3.5169,13.226600000000001,1659983747.8236895
17.8172,4.2282,13.588999999999999,1659983749.4004886
16.0851,5.4774,10.607700000000001,1659983750.9698951
9.1124,10.8668,-1.7544000000000004,1659983752.5603843
11.6408,8.9425,2.6982999999999997,1659983754.1688597
1.9344,14.2083,-12.2739,1659983755.8023813
0.4786,22.9893,-22.5107,1659983757.3932362
3.4685,14.0073,-10.5388,1659983759.1908014
5.2398,14.7333,-9.493500000000001,1659983760.7428842
8.7355,5.5526,3.1829,1659983762.441101
0.9384,9.7291,-8.790700000000001,1659983764.24086
4.4123,14.6039,-10.1916,1659983765.800849
1.2345,17.9399,-16.7054,1659983767.4422033
2.4708,20.3471,-17.8763,1659983769.0441785
5.2874,14.6703,-9.3829,1659983770.6038723
3.8599,14.7088,-10.8489,1659983773.071128
12.1798,5.5898,6.59,1659983774.6346765
25.5326,6.2539,19.2787,1659983776.2141297
3.3654,0.0745,3.2909,1659983777.820751
0.6735,6.7315,-6.058,1659983779.3844464
5.5909,14.1498,-8.558900000000001,1659983780.9352267
8.6203,11.8886,-3.2683,1659983782.5215504
17.9688,1.551,16.417800000000003,1659983784.1940928
20.853,2.8818,17.971200000000003,1659983785.7604108
36.3571,4.7626,31.594500000000004,1659983787.3389857
10.1738,9.7534,0.4204000000000008,1659983788.9041986
0.6,43.054,-42.454,1659983790.4740605
2.1094,22.2991,-20.1897,1659983792.1726336
